Year,CO2,CH4,NOx
2342,2470.189333,268.9082,59.32652857
2343,2464.374,268.91888,59.32652857
2344,2458.558667,268.92957,59.32652857
2345,2452.743333,268.94026,59.32652857
2346,2446.928,268.95095,59.32652857
2347,2441.112667,268.96164,59.32652857
2348,2435.297333,268.97232,59.32652857
2349,2429.482,268.98301,59.32652857
2350,2423.666667,268.9937,59.32652857
2351,2419.582,269.00281,59.32652857
2352,2415.497333,269.01192,59.32652857
2353,2411.412667,269.02102,59.32652857
2354,2407.328,269.03013,59.32652857
2355,2403.243333,269.03924,59.32652857
2356,2399.158667,269.04835,59.32652857
2357,2395.074,269.05746,59.32652857
2358,2390.989333,269.06656,59.32652857
2359,2386.904667,269.07567,59.32652857
2360,2382.82,269.08478,59.32652857
2361,2378.735333,269.09389,59.32652857
2362,2374.650667,269.103,59.32652857
2363,2370.566,269.1121,59.32652857
2364,2366.481333,269.12121,59.32652857
2365,2362.396667,269.13032,59.32652857
2366,2358.312,269.13943,59.32652857
2367,2354.227333,269.14854,59.32652857
2368,2350.142667,269.15764,59.32652857
2369,2346.058,269.16675,59.32652857
2370,2341.973333,269.17586,59.32652857
2371,2337.888667,269.18497,59.32652857
2372,2333.804,269.19408,59.32652857
2373,2329.719333,269.20318,59.32652857
2374,2325.634667,269.21229,59.32652857
2375,2321.55,269.2214,59.32652857
2376,2317.465333,269.23051,59.32652857
2377,2313.380667,269.23962,59.32652857
2378,2309.296,269.24872,59.32652857
2379,2305.211333,269.25783,59.32652857
2380,2301.126667,269.26694,59.32652857
2381,2297.042,269.27605,59.32652857
2382,2292.957333,269.28516,59.32652857
2383,2288.872667,269.29426,59.32652857
2384,2284.788,269.30337,59.32652857
2385,2280.703333,269.31248,59.32652857
2386,2276.618667,269.32159,59.32652857
2387,2272.534,269.3307,59.32652857
2388,2268.449333,269.3398,59.32652857
2389,2264.364667,269.34891,59.32652857
2390,2260.28,269.35802,59.32652857
2391,2256.195333,269.36713,59.32652857
2392,2252.110667,269.37624,59.32652857
2393,2248.026,269.38534,59.32652857
2394,2243.941333,269.39445,59.32652857
2395,2239.856667,269.40356,59.32652857
2396,2235.772,269.41267,59.32652857
2397,2231.687333,269.42178,59.32652857
2398,2227.602667,269.43088,59.32652857
2399,2223.518,269.43999,59.32652857
2400,2219.433333,269.4491,59.32652857
2401,2216.258,269.45702,59.32652857
2402,2213.082667,269.46495,59.32652857
2403,2209.907333,269.47287,59.32652857
2404,2206.732,269.4808,59.32652857
2405,2203.556667,269.48872,59.32652857
2406,2200.381333,269.49664,59.32652857
2407,2197.206,269.50457,59.32652857
2408,2194.030667,269.51249,59.32652857
2409,2190.855333,269.52042,59.32652857
2410,2187.68,269.52834,59.32652857
2411,2184.504667,269.53626,59.32652857
2412,2181.329333,269.54419,59.32652857
2413,2178.154,269.55211,59.32652857
2414,2174.978667,269.56004,59.32652857
2415,2171.803333,269.56796,59.32652857
2416,2168.628,269.57588,59.32652857
2417,2165.452667,269.58381,59.32652857
2418,2162.277333,269.59173,59.32652857
2419,2159.102,269.59966,59.32652857
2420,2155.926667,269.60758,59.32652857
2421,2152.751333,269.6155,59.32652857
2422,2149.576,269.62343,59.32652857
2423,2146.400667,269.63135,59.32652857
2424,2143.225333,269.63928,59.32652857
2425,2140.05,269.6472,59.32652857
2426,2136.874667,269.65512,59.32652857
2427,2133.699333,269.66305,59.32652857
2428,2130.524,269.67097,59.32652857
2429,2127.348667,269.6789,59.32652857
2430,2124.173333,269.68682,59.32652857
2431,2120.998,269.69474,59.32652857
2432,2117.822667,269.70267,59.32652857
2433,2114.647333,269.71059,59.32652857
2434,2111.472,269.71852,59.32652857
2435,2108.296667,269.72644,59.32652857
2436,2105.121333,269.73436,59.32652857
2437,2101.946,269.74229,59.32652857
2438,2098.770667,269.75021,59.32652857
2439,2095.595333,269.75814,59.32652857
2440,2092.42,269.76606,59.32652857
2441,2089.244667,269.77398,59.32652857
2442,2086.069333,269.78191,59.32652857
2443,2082.894,269.78983,59.32652857
2444,2079.718667,269.79776,59.32652857
2445,2076.543333,269.80568,59.32652857
2446,2073.368,269.8136,59.32652857
2447,2070.192667,269.82153,59.32652857
2448,2067.017333,269.82945,59.32652857
2449,2063.842,269.83738,59.32652857
2450,2060.666667,269.8453,59.32652857
2451,2068.916667,269.82627,59.32652857
2452,2077.166667,269.80724,59.32652857
2453,2085.416667,269.7882,59.32652857
2454,2093.666667,269.76917,59.32652857
2455,2101.916667,269.75014,59.32652857
2456,2110.166667,269.73111,59.32652857
2457,2118.416667,269.71208,59.32652857
